Paulo Sergio  Ceretta,Eduardo Dalcin
Bruno Porto,Vanessa  Battestin
Arilise Moraes de Almeida  Lopes,Jamil Bussade
Jamil Bussade,Arilise Moraes de Almeida  Lopes
Marcos Coelho  Bissoli,Michelle Cristine Silva  Toti
Michelle Cristine Silva  Toti,Amanda Rezende Costa  Xavier
Amanda Rezende Costa  Xavier,Marcos Coelho  Bissoli
Pollyanna  Santos,Vanessa Battestin
Vanessa Battestin,Pollyanna  Santos
Amanda Tolomelli Brescia,Daniel Santos  Braga
Daniel Santos  Braga,Amanda Tolomelli Brescia
Elaine Jesus  Alves,Dorcas Janice Weber
Dorcas Janice Weber,Elaine Jesus  Alves
Carlos Alberto Marçal  Gonzaga,Simone Soares
Simone Soares,Flávia Massuga
Flávia Massuga,Carlos Alberto Marçal  Gonzaga
Sérgio Augusto Pereira Bastos,Paulo de Jesus Santos Silva
Paulo de Jesus Santos Silva,Sérgio Augusto Pereira Bastos
Caroline Tozzi  Reppold,Carolina Sturm  Trindade
Carolina Sturm  Trindade,Sérgio Kakuta  Kato
Sérgio Kakuta  Kato,Ana Paula Borngraber  Correa
Ana Paula Borngraber  Correa,Ylana Elias  Rodrigues
Ylana Elias  Rodrigues,Marcelo Rodrigues  Gonçalves
Marcelo Rodrigues  Gonçalves,Nelson   Hauck Filho
Nelson   Hauck Filho,Caroline Tozzi  Reppold
Camila Paiva  Perin,Camila Paola da Costa  Xavier
Camila Paola da Costa  Xavier,Liliane  Roskamp
Liliane  Roskamp,Rafaela Martins  de Farias
Rafaela Martins  de Farias,Natanael Henrique  Mattos
Natanael Henrique  Mattos,Isabela Ribeiro  Madalena
Isabela Ribeiro  Madalena,Erika Calvano   Küchler
Erika Calvano   Küchler,Maria Carolina Botelho Pires  de Campos
Maria Carolina Botelho Pires  de Campos,Flares  Baratto-Filho
Flares  Baratto-Filho,Isabela Roskamp  Sunye
Isabela Roskamp  Sunye,Camila Paiva  Perin
Rodrigo Ferreira de   Moura,Maeve Freitas
Maeve Freitas,Miriam Monteiro de Castro  Graciano
Miriam Monteiro de Castro  Graciano,Marluce Rodrigues  Pereira
Marluce Rodrigues  Pereira,Rodrigo Ferreira de   Moura
Adilson Ventura,Marcelle Bittencourt  Xavier
Marcelle Bittencourt  Xavier,Adilson Ventura
Regiane Trigueiro  Vicente,Luciana Boff  Turchielo
Luciana Boff  Turchielo,Daniel Fabio Salvador
Daniel Fabio Salvador,Regiane Trigueiro  Vicente
Derli Juliano  Neuenfeldt,Manoel Maria Silva  Negrão
Manoel Maria Silva  Negrão,Derli Juliano  Neuenfeldt
Zeina Rebouças Corrêa  Thomé,Waldemir Rodrigues  Costa Junior
Waldemir Rodrigues  Costa Junior,Zeina Rebouças Corrêa  Thomé
Marcos César da Rocha Seruffo,Ivonete Davis
Ivonete Davis,Pedro Almeida dos  Santos Junior
Pedro Almeida dos  Santos Junior,Fernando Augusto Ribeiro  Costa
Fernando Augusto Ribeiro  Costa,Hilda Rosa Moraes de Freitas  Rosário
Hilda Rosa Moraes de Freitas  Rosário,Denis Rosário
Denis Rosário,Marcos César da Rocha Seruffo
Francis Kanashiro  Meneghetti,Jurandir Peinado
